Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
975,Zack Baun,NO,LB,17,0,0,0,0,0,0,0,0,0,0,0,0,1.6,28
975,Shamar Stephen,DEN,DT,17,0,0,0,0,0,0,0,0,0,0,0,0,1.6,28
975,Artie Burns,CHI,CB,11,0,0,0,0,0,0,0,0,0,0,0,0,2.5,28
975,Eno Benjamin,ARI,RB,9,0,0,0,118,1,6,42,0,0,0,0,0,3.1,28
981,A.J. Epenesa,BUF,DE,14,0,0,0,0,0,0,0,0,1.5,0,0,0,2,27.3
982,Jonathan Garvin,GB,LB,16,0,0,0,0,0,0,0,0,1.5,0,0,0,1.7,27.25
983,Kenneth Murray Jr.,LAC,LB,11,0,0,0,0,0,0,0,0,0,0,0,0,2.5,27
983,Benjamin St-Juste,WAS,CB,9,0,0,0,0,0,0,0,0,0,0,0,0,3,27
985,Godwin Igwebuike,DET,RB,17,0,0,0,118,1,7,60,0,0,0,0,0,1.6,26.8
986,Adrian Peterson,SEA,RB,4,0,0,0,98,2,4,8,0,0,0,0,0,6.6,26.6
987,T.J. Carrie,IND,CB,11,0,0,0,0,0,0,0,0,0,0,0,1,2.4,26.5
987,Bravvion Roy,CAR,DT,17,0,0,0,0,0,0,0,0,0,0,0,0,1.6,26.5
987,Dre Greenlaw,SF,LB,3,0,0,0,0,0,0,0,0,0,1,0,0,8.8,26.5
987,Dennis Gardeck,ARI,OLB,14,0,0,0,0,0,0,0,0,0,0,0,1,1.9,26.5
987,Jeremy Reaves,WAS,S,5,0,0,0,0,0,0,0,0,0,0,0,0,5.3,26.5
992,Tyler Lancaster,GB,DL,16,0,0,0,0,0,0,0,0,0,0,0,0,1.6,26
993,Jermar Jefferson,DET,RB,7,0,0,0,74,2,4,23,0,0,0,0,0,3.7,25.7
994,Avery Williams,ATL,RB,15,0,0,0,0,0,0,0,0,0,0,1,0,1.7,25.5
994,Siran Neal,BUF,CB,17,0,0,0,0,0,0,0,0,0,0,1,1,1.5,25.5
994,Trayvon Mullen,LV,CB,5,0,0,0,0,0,0,0,0,0,1,0,0,5.1,25.5
997,Dante Pettis,NYG,WR,3,16,0,0,0,0,10,87,1,0,0,0,0,8.4,25.34
998,C.J. Moore,DET,S,17,0,0,0,28,0,0,0,0,0,1,0,0,1.5,25.3
999,Donovan Wilson,DAL,S,9,0,0,0,0,0,0,0,0,0,0,0,0,2.8,25
999,Bradley Chubb,DEN,OLB,7,0,0,0,0,0,0,0,0,0,1,0,0,3.6,25
999,Joe Bachie,CIN,LB,9,0,0,0,0,0,0,0,0,0,0,0,0,2.8,25
999,Aaron Robinson,NYG,CB,9,0,0,0,0,0,0,0,0,0,0,0,0,2.8,25
1003,Derrek Tuszka,PIT,OLB,15,0,0,0,0,0,0,0,0,2,0,1,0,1.7,24.8
1003,Marcus Johnson,TEN,WR,7,0,0,0,-2,0,9,160,0,0,0,0,0,3.5,24.8
1005,Alec Ingold,LV,FB,9,0,0,0,1,0,10,85,1,0,0,0,0,2.7,24.6
1006,Danny Shelton,NYG,NT,13,0,0,0,0,0,0,0,0,0.5,0,0,0,1.9,24.55
1007,Isaiahh Loudermilk,PIT,DT,15,0,0,0,0,0,0,0,0,1,0,0,0,1.6,24.5
1007,Bryce Huff,NYJ,DL,9,0,0,0,0,0,0,0,0,2,0,0,0,2.7,24.5
1007,Juston Burris,CAR,S,10,0,0,0,0,0,0,0,0,0,1,0,0,2.4,24.5
1007,Sam Franklin Jr.,CAR,S,16,0,0,0,0,0,0,0,0,0,0,0,0,1.5,24.5
1007,Stephon Gilmore,CAR,CB,8,0,0,0,0,0,0,0,0,0,2,0,0,3.1,24.5
1012,Tim Boyle,DET,QB,5,526,3,6,13,0,0,0,0,0,0,0,0,4.9,24.34
